scenario_id,data_class,tenor,trade_date,effective_date,contractual_maturity_date,adjusted_maturity_date,final_payment_date,number_of_periods,quote_type,par_rate
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,1M,2026-09-15,2026-09-18,2026-10-18,2026-10-19,2026-10-21,2,PAR_OIS_RATE,0.077626045630
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,2M,2026-09-15,2026-09-18,2026-11-18,2026-11-18,2026-11-20,3,PAR_OIS_RATE,0.077088792099
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,3M,2026-09-15,2026-09-18,2026-12-18,2026-12-18,2026-12-22,4,PAR_OIS_RATE,0.076576653084
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,6M,2026-09-15,2026-09-18,2027-03-18,2027-03-18,2027-03-22,7,PAR_OIS_RATE,0.075189263035
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,9M,2026-09-15,2026-09-18,2027-06-18,2027-06-18,2027-06-22,10,PAR_OIS_RATE,0.073979952583
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,1Y,2026-09-15,2026-09-18,2027-09-18,2027-09-20,2027-09-22,14,PAR_OIS_RATE,0.072930700295
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,2Y,2026-09-15,2026-09-18,2028-09-18,2028-09-18,2028-09-20,27,PAR_OIS_RATE,0.070208296760
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,3Y,2026-09-15,2026-09-18,2029-09-18,2029-09-18,2029-09-20,40,PAR_OIS_RATE,0.068890121722
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,4Y,2026-09-15,2026-09-18,2030-09-18,2030-09-18,2030-09-20,53,PAR_OIS_RATE,0.068362579699
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,5Y,2026-09-15,2026-09-18,2031-09-18,2031-09-18,2031-09-22,66,PAR_OIS_RATE,0.068270726084
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,7Y,2026-09-15,2026-09-18,2033-09-18,2033-09-19,2033-09-21,92,PAR_OIS_RATE,0.068661509651
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,10Y,2026-09-15,2026-09-18,2036-09-18,2036-09-18,2036-09-22,131,PAR_OIS_RATE,0.069534094022
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,15Y,2026-09-15,2026-09-18,2041-09-18,2041-09-18,2041-09-20,196,PAR_OIS_RATE,0.070516134352
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,20Y,2026-09-15,2026-09-18,2046-09-18,2046-09-18,2046-09-20,261,PAR_OIS_RATE,0.070945972382
FTIIE_KNOWN_TRUTH_V1,SYNTHETIC_REFERENCE_DATA,30Y,2026-09-15,2026-09-18,2056-09-18,2056-09-18,2056-09-20,392,PAR_OIS_RATE,0.071206559631
