tenor,pillar_date,input_quote,repriced_quote,error_bp,status
1M,2026-10-21,0.07762604563,0.07762604563000206,2.0539125955565396e-11,PASS
2M,2026-11-20,0.077088792099,0.07708879209899562,-4.3853809472693683e-11,PASS
3M,2026-12-22,0.076576653084,0.07657665308399673,-3.2612801348363973e-11,PASS
6M,2027-03-22,0.075189263035,0.07518926303499825,-1.7486012637846216e-11,PASS
9M,2027-06-22,0.073979952583,0.07397995258300025,2.4980018054066022e-12,PASS
1Y,2027-09-22,0.072930700295,0.07293070029499597,-4.0245584642661925e-11,PASS
2Y,2028-09-20,0.07020829676,0.07020829675999572,-4.274358644806853e-11,PASS
3Y,2029-09-20,0.068890121722,0.06889012172200043,4.3021142204224816e-12,PASS
4Y,2030-09-20,0.068362579699,0.06836257969900192,1.915134717478395e-11,PASS
5Y,2031-09-22,0.068270726084,0.06827072608400218,2.1788126858268697e-11,PASS
7Y,2033-09-21,0.068661509651,0.06866150965100179,1.790234627208065e-11,PASS
10Y,2036-09-22,0.069534094022,0.06953409402200056,5.551115123125783e-12,PASS
15Y,2041-09-20,0.070516134352,0.07051613435200181,1.8041124150158794e-11,PASS
20Y,2046-09-20,0.070945972382,0.07094597238200125,1.2490009027033011e-11,PASS
30Y,2056-09-20,0.071206559631,0.07120655963100099,9.853229343548264e-12,PASS
