start_date,end_date,start_act360_years,forward_period_days,forward_rate
2026-09-18,2026-10-16,0.0,28,0.07770182983167848
2026-09-25,2026-10-23,0.019444444444444445,28,0.07743959056296403
2026-10-02,2026-10-30,0.03888888888888889,28,0.07718190844917443
2026-10-09,2026-11-06,0.058333333333333334,28,0.07692871734449801
2026-10-16,2026-11-13,0.07777777777777778,28,0.07667995204480693
2026-10-23,2026-11-20,0.09722222222222222,28,0.0764355482740082
2026-10-30,2026-11-27,0.11666666666666667,28,0.07619544267059718
2026-11-06,2026-12-04,0.1361111111111111,28,0.075959572774394
2026-11-13,2026-12-11,0.15555555555555556,28,0.07572787701349107
2026-11-20,2026-12-18,0.175,28,0.07550029469139773
2026-11-27,2026-12-25,0.19444444444444445,28,0.07527676597434457
2026-12-04,2027-01-01,0.21388888888888888,28,0.0750572318788307
2026-12-11,2027-01-08,0.23333333333333334,28,0.07484163425928772
2026-12-18,2027-01-15,0.25277777777777777,28,0.07462991579597812
2026-12-25,2027-01-22,0.2722222222222222,28,0.07442201998306189
2027-01-01,2027-01-29,0.2916666666666667,28,0.07421789111681168
2027-01-08,2027-02-05,0.3111111111111111,28,0.0740174742840335
2027-01-15,2027-02-12,0.33055555555555555,28,0.07382071535064443
2027-01-22,2027-02-19,0.35,28,0.07362756095042158
2027-01-29,2027-02-26,0.36944444444444446,28,0.0734379584739196
2027-02-05,2027-03-05,0.3888888888888889,28,0.07325185605753935
2027-02-12,2027-03-12,0.4083333333333333,28,0.07306920257277653
2027-02-19,2027-03-19,0.42777777777777776,28,0.07288994761560735
2027-02-26,2027-03-26,0.44722222222222224,28,0.07271404149605967
2027-03-05,2027-04-02,0.4666666666666667,28,0.07254143522790127
2027-03-12,2027-04-09,0.4861111111111111,28,0.07237208051850225
2027-03-19,2027-04-16,0.5055555555555555,28,0.07220592975886302
2027-03-26,2027-04-23,0.525,28,0.0720429360137336
2027-04-02,2027-04-30,0.5444444444444444,28,0.0718830530119414
2027-04-09,2027-05-07,0.5638888888888889,28,0.07172623513682735
2027-04-16,2027-05-14,0.5833333333333334,28,0.07157243741681649
2027-04-23,2027-05-21,0.6027777777777777,28,0.07142161551615368
2027-04-30,2027-05-28,0.6222222222222222,28,0.07127372572575405
2027-05-07,2027-06-04,0.6416666666666667,28,0.07112872495419285
2027-05-14,2027-06-11,0.6611111111111111,28,0.07098657071883269
2027-05-21,2027-06-18,0.6805555555555556,28,0.07084722113707333
2027-05-28,2027-06-25,0.7,28,0.07071063491774426
2027-06-04,2027-07-02,0.7194444444444444,28,0.07057677135260018
2027-06-11,2027-07-09,0.7388888888888889,28,0.07044559030795325
2027-06-18,2027-07-16,0.7583333333333333,28,0.07031705221645122
2027-06-25,2027-07-23,0.7777777777777778,28,0.07019111806892392
2027-07-02,2027-07-30,0.7972222222222223,28,0.07006774940640106
2027-07-09,2027-08-06,0.8166666666666667,28,0.06994690831221284
2027-07-16,2027-08-13,0.8361111111111111,28,0.06982855740422757
