tenor,contractual_maturity_date,act360_years,par_rate
1M,2026-10-18,0.08333333333333333,0.07762604563
2M,2026-11-18,0.16944444444444445,0.077088792099
3M,2026-12-18,0.25277777777777777,0.076576653084
6M,2027-03-18,0.5027777777777778,0.075189263035
9M,2027-06-18,0.7583333333333333,0.073979952583
1Y,2027-09-18,1.0138888888888888,0.072930700295
2Y,2028-09-18,2.0305555555555554,0.07020829676
3Y,2029-09-18,3.0444444444444443,0.068890121722
4Y,2030-09-18,4.058333333333334,0.068362579699
5Y,2031-09-18,5.072222222222222,0.068270726084
7Y,2033-09-18,7.102777777777778,0.068661509651
10Y,2036-09-18,10.147222222222222,0.069534094022
15Y,2041-09-18,15.219444444444445,0.070516134352
20Y,2046-09-18,20.291666666666668,0.070945972382
30Y,2056-09-18,30.43888888888889,0.071206559631
