tenor,pillar_date,act360_years,solved_discount_factor,true_discount_factor,df_error,relative_error_ppm
1M,2026-10-21,0.09166666666666666,0.9929289537514633,0.9929323361655402,-3.382414076935625e-06,-3.4064900031882672
2M,2026-11-20,0.175,0.9866409454463645,0.9866435657159973,-2.620269632824801e-06,-2.655740861112754
3M,2026-12-22,0.2638888888888889,0.9800637428931597,0.9800689665836751,-5.2236905154767754e-06,-5.329921356156397
6M,2027-03-22,0.5138888888888888,0.9622258853151149,0.962239198547396,-1.3313232281153553e-05,-13.835678593476786
9M,2027-06-22,0.7694444444444445,0.9448679216998728,0.9448786623796078,-1.0740679735055103e-05,-11.36725821282436
1Y,2027-09-22,1.025,0.9282338408188742,0.92823909180337,-5.250984495885902e-06,-5.656931002184784
2Y,2028-09-20,2.036111111111111,0.8673679298501583,0.8673888488991038,-2.0919048945522434e-05,-24.117267557799416
3Y,2029-09-20,3.05,0.8114003664459959,0.8114141991076613,-1.3832661665436063e-05,-17.04759625931196
4Y,2030-09-20,4.063888888888889,0.7585901211869622,0.7585962436437659,-6.122456803647758e-06,-8.070771316037728
5Y,2031-09-22,5.083333333333333,0.7080275161533078,0.7080241394197144,3.3767335934076215e-06,4.769235122603632
7Y,2033-09-21,7.111111111111111,0.6146708763429278,0.6146313468659894,3.95294769384158e-05,64.31412445850881
10Y,2036-09-22,10.158333333333333,0.49319265528158474,0.4930993817790273,9.327350255744493e-05,189.15761407156674
15Y,2041-09-20,15.225,0.33943221604208573,0.33934302198588867,8.919405619706167e-05,262.8433485241111
20Y,2046-09-20,20.29722222222222,0.23374931382023087,0.2337112549266715,3.8058893559372864e-05,162.84578836955887
30Y,2056-09-20,30.444444444444443,0.11180276962276346,0.11184695394228229,-4.418431951883073e-05,-395.042671807011
