start_date,end_date,start_act360_years,true_forward_rate,recovered_forward_rate,error_bp
2026-09-18,2026-10-16,0.0,0.07770182983167848,0.07764622337423413,-0.55606457444346
2026-09-25,2026-10-23,0.019444444444444445,0.07743959056296403,0.07756160098182363,1.220104188596055
2026-10-02,2026-10-30,0.03888888888888889,0.07718190844917443,0.07726542696811231,0.8351851893788342
2026-10-09,2026-11-06,0.058333333333333334,0.07692871734449801,0.07696925973608476,0.40542391586753657
2026-10-16,2026-11-13,0.07777777777777778,0.07667995204480693,0.076673099285584,-0.06852759222936156
2026-10-23,2026-11-20,0.09722222222222222,0.0764355482740082,0.07646156025852312,0.2601198451492037
2026-10-30,2026-11-27,0.11666666666666667,0.07619544267059718,0.07621293864343912,0.17495972841938268
2026-11-06,2026-12-04,0.1361111111111111,0.075959572774394,0.07596432180758926,0.04749033195264318
2026-11-13,2026-12-11,0.15555555555555556,0.07572787701349107,0.07571570975087935,-0.12167262611717522
2026-11-20,2026-12-18,0.175,0.07550029469139773,0.07546710247321801,-0.3319221817971174
2026-11-27,2026-12-25,0.19444444444444445,0.07527676597434457,0.07527602960199291,-0.007363723516645715
2026-12-04,2027-01-01,0.21388888888888888,0.0750572318788307,0.07483020388075261,-2.2702799807809706
2026-12-11,2027-01-08,0.23333333333333334,0.07484163425928772,0.07438439352868396,-4.572407306037557
2026-12-18,2027-01-15,0.25277777777777777,0.07462991579597812,0.07393859854525596,-6.913172507221621
2026-12-25,2027-01-22,0.2722222222222222,0.07442201998306189,0.07368386545473195,-7.381545283299401
2027-01-01,2027-01-29,0.2916666666666667,0.07421789111681168,0.07368386545472909,-5.340256620825906
2027-01-08,2027-02-05,0.3111111111111111,0.0740174742840335,0.07368386545472909,-3.3360882930441593
2027-01-15,2027-02-12,0.33055555555555555,0.07382071535064443,0.07368386545472909,-1.3684989591533636
2027-01-22,2027-02-19,0.35,0.07362756095042158,0.07368386545472909,0.5630450430750555
2027-01-29,2027-02-26,0.36944444444444446,0.0734379584739196,0.07368386545472909,2.4590698080949327
2027-02-05,2027-03-05,0.3888888888888889,0.07325185605753935,0.07368386545472909,4.320093971897365
2027-02-12,2027-03-12,0.4083333333333333,0.07306920257277653,0.07368386545473195,6.1466288195541345
2027-02-19,2027-03-19,0.42777777777777776,0.07288994761560735,0.07368386545472909,7.9391783912173555
2027-02-26,2027-03-26,0.44722222222222224,0.07271404149605967,0.07336201012310838,6.479686270487034
2027-03-05,2027-04-02,0.4666666666666667,0.07254143522790127,0.07279878256949518,2.5734734159391093
2027-03-12,2027-04-09,0.4861111111111111,0.07237208051850225,0.07223557954897185,-1.3650096953039814
2027-03-19,2027-04-16,0.5055555555555555,0.07220592975886302,0.07167240106047634,-5.335286983866733
2027-03-26,2027-04-23,0.525,0.0720429360137336,0.07143104636065901,-6.1188965307458485
2027-04-02,2027-04-30,0.5444444444444444,0.0718830530119414,0.07143104636065901,-4.5200665128238
2027-04-09,2027-05-07,0.5638888888888889,0.07172623513682735,0.07143104636065901,-2.9518877616833974
2027-04-16,2027-05-14,0.5833333333333334,0.07157243741681649,0.07143104636065901,-1.4139105615747216
2027-04-23,2027-05-21,0.6027777777777777,0.07142161551615368,0.07143104636065901,0.09430844505331493
2027-04-30,2027-05-28,0.6222222222222222,0.07127372572575405,0.07143104636065901,1.573206349049644
2027-05-07,2027-06-04,0.6416666666666667,0.07112872495419285,0.07143104636065901,3.0232140646616057
2027-05-14,2027-06-11,0.6611111111111111,0.07098657071883269,0.07143104636065901,4.444756418263279
2027-05-21,2027-06-18,0.6805555555555556,0.07084722113707333,0.07143104636065901,5.838252235856878
2027-05-28,2027-06-25,0.7,0.07071063491774426,0.07124444995851789,5.338150407736276
2027-06-04,2027-07-02,0.7194444444444444,0.07057677135260018,0.07080906882670236,2.322974741021805
2027-06-11,2027-07-09,0.7388888888888889,0.07044559030795325,0.07037370235694126,-0.7188795101198409
2027-06-18,2027-07-16,0.7583333333333333,0.07031705221645122,0.06993835054874355,-3.78701667707676
2027-06-25,2027-07-23,0.7777777777777778,0.07019111806892392,0.06968958466946752,-5.01533399456397
2027-07-02,2027-07-30,0.7972222222222223,0.07006774940640106,0.06968958466946752,-3.7816473693354222
2027-07-09,2027-08-06,0.8166666666666667,0.06994690831221284,0.06968958466946752,-2.5732364274531907
2027-07-16,2027-08-13,0.8361111111111111,0.06982855740422757,0.06968958466946752,-1.3897273476004557
2027-07-23,2027-08-20,0.8555555555555555,0.06971265982718926,0.06968958466946752,-0.2307515772173585
2027-07-30,2027-08-27,0.875,0.06959917924516651,0.06968958466946466,0.904054242981539
2027-08-06,2027-09-03,0.8944444444444445,0.06948807983412701,0.06968958466946752,2.0150483534051022
2027-08-13,2027-09-10,0.9138888888888889,0.06937932627460341,0.06968958466946752,3.1025839486410742
2027-08-20,2027-09-17,0.9333333333333333,0.06927288374447908,0.06968958466946752,4.167009249884391
2027-08-27,2027-09-24,0.9527777777777777,0.06916871791186813,0.06951534306983317,3.46625157965047
2027-09-03,2027-10-01,0.9722222222222222,0.06906679492812096,0.06890551596623265,-1.6127896188830593
2027-09-10,2027-10-08,0.9916666666666667,0.06896708142088981,0.06829571763179347,-6.713637890963381
2027-09-17,2027-10-15,1.011111111111111,0.06886954448734851,0.06768594806515386,-11.835964221946494
2027-09-24,2027-10-22,1.0305555555555554,0.06877415168747497,0.06725041598688586,-15.237357005891127
2027-10-01,2027-10-29,1.05,0.06868087103743648,0.06725041598688586,-14.304550505506164
2027-10-08,2027-11-05,1.0694444444444444,0.06858967100308343,0.06725041598688586,-13.392550161975686
2027-10-15,2027-11-12,1.0888888888888888,0.06850052049353453,0.06725041598688586,-12.501045066486693
2027-10-22,2027-11-19,1.1083333333333334,0.06841338885484755,0.06725041598688872,-11.62972867958828
2027-10-29,2027-11-26,1.1277777777777778,0.06832824586378715,0.06725041598688586,-10.7782987690129
2027-11-05,2027-12-03,1.1472222222222221,0.06824506172168691,0.06725041598688872,-9.94645734798197
2027-11-12,2027-12-10,1.1666666666666667,0.06816380704839713,0.06725041598688872,-9.13391061508409
2027-11-19,2027-12-17,1.1861111111111111,0.0680844528763266,0.06725041598688586,-8.340368894407396
2027-11-26,2027-12-24,1.2055555555555555,0.06800697064455312,0.06725041598688872,-7.565546576644016
2027-12-03,2027-12-31,1.225,0.06793133219304812,0.06725041598688586,-6.809162061622576
2027-12-10,2028-01-07,1.2444444444444445,0.06785750975696114,0.06725041598688586,-6.070937700752843
2027-12-17,2028-01-14,1.2638888888888888,0.06778547596099875,0.06725041598688586,-5.35059974112892
2027-12-24,2028-01-21,1.2833333333333334,0.06771520381388887,0.06725041598688586,-4.647878270030159
2027-12-31,2028-01-28,1.3027777777777778,0.0676466667029052,0.06725041598688586,-3.962507160193418
2028-01-07,2028-02-04,1.3222222222222222,0.06757983838851146,0.06725041598688872,-3.2942240162274485
2028-01-14,2028-02-11,1.3416666666666666,0.06751469299902572,0.06725041598688872,-2.642770121370069
2028-01-21,2028-02-18,1.3611111111111112,0.06745120502542738,0.06725041598688586,-2.00789038541524
2028-01-28,2028-02-25,1.3805555555555555,0.06738934931618701,0.06725041598688586,-1.3893332930114966
2028-02-04,2028-03-03,1.4,0.06732910107218754,0.06725041598688586,-0.7868508530167739
2028-02-11,2028-03-10,1.4194444444444445,0.06727043584175117,0.06725041598688586,-0.20019854865313547
2028-02-18,2028-03-17,1.4388888888888889,0.06721332951567469,0.06725041598688872,0.37086471214031747
2028-02-25,2028-03-24,1.4583333333333333,0.06715775832240478,0.06725041598688872,0.9265766448393609
2028-03-03,2028-03-31,1.4777777777777779,0.06710369882322192,0.06725041598688586,1.4671716366393417
2028-03-10,2028-04-07,1.4972222222222222,0.06705112790755267,0.06725041598688586,1.992880793331847
2028-03-17,2028-04-14,1.5166666666666666,0.06700002278830196,0.06725041598688872,2.503931985867597
2028-03-24,2028-04-21,1.5361111111111112,0.06695036099727389,0.06725041598688586,3.0005498961196975
2028-03-31,2028-04-28,1.5555555555555556,0.06690212038066681,0.06725041598688872,3.4829560622190447
2028-04-07,2028-05-05,1.575,0.06685527909461689,0.06725041598688586,3.951368922689713
2028-04-14,2028-05-12,1.5944444444444446,0.06680981560081582,0.06725041598688586,4.4060038607003635
2028-04-21,2028-05-19,1.613888888888889,0.06676570866218867,0.06725041598688586,4.847073246971867
2028-04-28,2028-05-26,1.6333333333333333,0.06672293733864004,0.06725041598688586,5.27478648245816
2028-05-05,2028-06-02,1.6527777777777777,0.06668148098284897,0.06725041598688586,5.689350040368884
2028-05-12,2028-06-09,1.6722222222222223,0.06664131923614068,0.06725041598688872,6.090967507480366
2028-05-19,2028-06-16,1.6916666666666667,0.0666024320244128,0.06725041598688872,6.479839624759231
2028-05-26,2028-06-23,1.711111111111111,0.06656479955410712,0.06725041598688872,6.856164327816022
2028-06-02,2028-06-30,1.7305555555555556,0.06652840230826129,0.06725041598688872,7.2201367862742565
2028-06-09,2028-07-07,1.75,0.066493221042612,0.06725041598688586,7.571949442738562
2028-06-16,2028-07-14,1.7694444444444444,0.06645923678172659,0.06725041598688586,7.911792051592675
2028-06-23,2028-07-21,1.788888888888889,0.06642643081524607,0.06725041598688586,8.239851716397851
2028-06-30,2028-07-28,1.8083333333333333,0.06639478469411676,0.06725041598688586,8.556312927690962
2028-07-07,2028-08-04,1.8277777777777777,0.06636428022694453,0.06725041598688586,8.861357599413283
2028-07-14,2028-08-11,1.8472222222222223,0.06633489947633496,0.06725041598688872,9.155165105537572
2028-07-21,2028-08-18,1.8666666666666667,0.06630662475534756,0.06725041598688586,9.437912315383018
2028-07-28,2028-08-25,1.886111111111111,0.0662794386239472,0.06725041598688586,9.709773629386632
2028-08-04,2028-09-01,1.9055555555555554,0.06625332388554973,0.06725041598688872,9.97092101338984
2028-08-11,2028-09-08,1.925,0.06622826358358758,0.06725041598688872,10.22152403301141
2028-08-18,2028-09-15,1.9444444444444444,0.06620424099814956,0.06725041598688872,10.46174988739157
2028-08-25,2028-09-22,1.9638888888888888,0.06618123964264072,0.06715799161106745,9.767519684267256
2028-09-01,2028-09-29,1.9833333333333334,0.06615924326052212,0.06683451150058099,6.752682400588683
2028-09-08,2028-10-06,2.0027777777777778,0.06613823582207047,0.06651103948642101,3.7280366435053782
2028-09-15,2028-10-13,2.022222222222222,0.06611820152120362,0.0661875755683905,0.6937404718687645
2028-09-22,2028-10-20,2.0416666666666665,0.06609912477233447,0.06595653486934948,-1.4258990298499086
