scenario,reference_date,method,horizon,df_abs_observation_count,df_abs_bias,df_abs_mae,df_abs_rmse,df_abs_max_error,df_relative_bias_ppm,df_relative_mae_ppm,df_relative_rmse_ppm,df_relative_max_error_ppm,zero_observation_count,zero_bias_bp,zero_mae_bp,zero_rmse_bp,zero_max_error_bp,forward_observation_count,forward_bias_bp,forward_mae_bp,forward_rmse_bp,forward_max_error_bp
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,0-1Y,53,2.3429624877293903e-05,2.4036632214991914e-05,3.090081683152165e-05,6.499065178000585e-05,24.436013890538412,25.067869937636814,32.175385950320184,66.9289911841009,52,-0.687191457566815,0.7041124475757632,1.0805289265015854,4.519692587305474,53,-0.41353912023217954,3.0442662514694674,3.9811689039416636,11.835964221917905
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1-5Y,208,2.6508768430734516e-06,9.61700272577843e-05,0.00012860173973827215,0.00030754922102338433,-6.387296735750614,116.30039084073505,150.74096953393584,341.2153460842227,208,-0.2167879382589491,0.5330321112331308,0.8690701927800368,2.39329379716241,208,0.19144881824503693,3.235000155528697,4.482452214012787,15.237357005891127
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,5-10Y,261,-0.0002563770072324429,0.00026013728373279097,0.0002925698939782346,0.00041850487788708257,-429.7972895445197,437.0690955637221,491.9162039819602,737.8543723557395,261,0.5856504353458759,0.5934013666755423,0.6709200095109418,1.0504787251458536,261,-0.4020652612940091,5.880022597814564,6.790079335766273,12.691040721495572
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,10Y-curve-end,1045,9.28139774623321e-05,0.00010638209664723772,0.00012320756669901068,0.0001960167972435145,454.53549322266883,499.9342330169076,607.1469126141211,1093.8928880999122,1045,-0.20597958290662377,0.234414047956229,0.2727012864800685,0.45371229044188777,1041,0.2787982308388812,1.9889799169148976,2.3292802592266457,4.865886204734881
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,0-1Y,53,-4.809824229088294e-06,6.284113826162339e-06,7.765573034137578e-06,1.4767337164989236e-05,-5.087288577015588,6.570862201259317,8.148886438840316,15.787295984615035,52,-0.08529379337245818,0.30659757933124304,0.8245070577814367,4.519692587296731,53,0.3958090151149754,1.0085428431477985,1.5505357738247036,7.67584300931698
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,1-5Y,208,-0.00013142457048825938,0.0001337270331537721,0.00016025195240519262,0.0003077741774760723,-157.59608639540014,160.60094284319194,189.05938510105327,344.14171075369813,208,0.6959805051541207,0.7040894596885997,0.948708751105029,2.2336416234948473,208,-0.18030503928266312,5.354710073605417,6.335477711550563,15.057851170638125
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,5-10Y,261,-1.530785561019865e-05,8.729382874420395e-05,0.0001052071980416319,0.0002156166603024534,-11.553495205248064,143.39529681066097,166.84748193108473,324.95331128357117,261,0.05254879656145054,0.20446298247297823,0.2554949405392754,0.5412899479843858,261,-0.12600344787998452,1.9479410862890993,2.8752550066993217,7.83540120919815
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,10Y-curve-end,1045,0.00015146586216132856,0.00018171959002017345,0.00023517993807076174,0.0005658447350962992,479.5612127533603,688.2475717117151,789.3004017576158,1570.6454462065533,1045,-0.30383615751638715,0.38184975900228874,0.47439550679329784,1.0897030757960058,1041,0.8228022388922183,4.767193850832083,5.561098708673022,13.841124178764208
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,0-1Y,53,-5.562170271788119e-07,3.6287627280764695e-06,4.53301902891904e-06,1.0713757268465685e-05,-0.5827780775589014,3.738838839918372,4.645446870878329,10.746192547594902,52,-0.12147343158227007,0.26511363664630355,0.7566900217929932,4.3578828369653095,53,0.05475631442442689,0.545242446444776,0.7129208292350322,2.1661160754511686
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,1-5Y,208,1.0547611002141684e-06,2.1939490716105237e-06,3.172220520107438e-06,8.538643331501561e-06,1.1446766075791905,2.5736318356498775,3.5917894790927165,9.506654696123107,208,-0.008614311935974919,0.013343210797499977,0.022752441227869843,0.06423255476506462,208,0.0028333114662136933,0.0796124566260328,0.1127064604974866,0.2880011759076595
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,5-10Y,261,6.23771543863026e-06,6.521864991724978e-06,7.874430344435962e-06,1.336745242419557e-05,10.603747031596273,11.115413207804526,13.563288711373444,24.384084243767035,261,-0.014091011912149454,0.014704166774066156,0.017689261833106717,0.028074248043380434,261,0.010642265763875083,0.18275894515770058,0.20026511161842225,0.2990139389520696
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,10Y-curve-end,1045,-3.7293251752882406e-06,8.733417877911703e-06,1.0168945330928237e-05,1.760229717873152e-05,-21.801685171064303,38.713582510622565,46.851388421589306,96.26478159197038,1045,0.008663252849742668,0.019011279117874143,0.022085472920539802,0.03919968048229916,1041,-0.015812406592827066,0.20413215385787042,0.2342184987651909,0.41893215165469955
