scenario,reference_date,method,shock_index,shock_tenor,shock_pillar_date,shock_pillar_years,weighted_center_years,center_offset_from_shock_years,weighted_spread_years,rms_distance_from_shock_years,sensitivity_mass_within_1y,sensitivity_mass_within_2y,observation_count
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,0,1M,2026-10-21,0.09166666666666666,0.0862027032946134,-0.005463963372053265,0.348441732484309,0.34848457043662334,0.9992806786522161,0.99943986773719,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1,2M,2026-11-20,0.175,0.16341648125844294,-0.011583518741557053,0.29264289790515835,0.2928720601231277,0.9995333844156999,0.9996315995861004,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,2,3M,2026-12-22,0.2638888888888889,0.2908117892969211,0.02692290040803219,0.43071492376058845,0.43155554464804446,0.9989545833988264,0.9991890577269439,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,3,6M,2027-03-22,0.5138888888888888,0.5031369644426466,-0.01075192444624229,0.522548718830634,0.5226593225331724,0.9986626363712529,0.9988445680306063,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,4,9M,2027-06-22,0.7694444444444445,0.7572798589736149,-0.012164585470829548,0.5247196778374851,0.5248606647954781,0.9960550240718073,0.998890263719116,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,5,1Y,2027-09-22,1.025,1.2283983126775444,0.2033983126775445,0.8591569035772854,0.882905124327966,0.9938984991697569,0.9972723693330533,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,6,2Y,2028-09-20,2.036111111111111,2.073416980168702,0.037305869057591146,1.0903190916531955,1.0909571254130894,0.9666796015032663,0.9959900133491718,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,7,3Y,2029-09-20,3.05,3.0823913672860592,0.0323913672860594,1.045282237800709,1.0457839917192835,0.966994844988916,0.9959805565553029,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,8,4Y,2030-09-20,4.063888888888889,4.101060130228352,0.037171241339462924,1.0049120668042308,1.0055993054847778,0.965061545500726,0.9934521746368086,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,9,5Y,2031-09-22,5.083333333333333,5.3956068554187535,0.3122735220854205,1.2668554544025237,1.3047748828610466,0.7115267536233215,0.9944129127047316,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,10,7Y,2033-09-21,7.111111111111111,7.503802258345023,0.3926911472339123,1.7548039044476376,1.7982055166694824,0.39510737954501157,0.8007588143058095,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,11,10Y,2036-09-22,10.158333333333333,10.97867170977903,0.8203383764456973,2.5256522176786356,2.6555365138771054,0.2479133884924472,0.5012965556142231,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,12,15Y,2041-09-20,15.225,15.675069441342764,0.45006944134276416,2.945404639733898,2.9795924207509596,0.19547984490936895,0.39115697414235434,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,13,20Y,2046-09-20,20.29722222222222,22.497695851586613,2.2004736293643923,4.4302582612210735,4.946642543649751,0.1328414886548247,0.2689423303674501,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,14,30Y,2056-09-20,30.444444444444443,25.310390562856572,-5.134053881587871,2.916860996021844,5.904793589039417,0.09044672776818584,0.19051544785211189,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,0,1M,2026-10-21,0.09166666666666666,0.11609310621757306,0.024426439550906398,0.5929343844295296,0.5934373051872955,0.9973271674091713,0.9982142519934653,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,1,2M,2026-11-20,0.175,0.19126952728848465,0.01626952728848466,0.38320171356375116,0.383546934281042,0.9989650425529789,0.9992923793339202,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,2,3M,2026-12-22,0.2638888888888889,0.34091520948326254,0.07702632059437364,0.7200554466639257,0.7241635867224289,0.9961894584977359,0.9974104858340179,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,3,6M,2027-03-22,0.5138888888888888,0.5557592207821537,0.041870331893264834,0.830319852483134,0.831374874602586,0.9957560049414416,0.9965107832704582,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,4,9M,2027-06-22,0.7694444444444445,0.8043617189368872,0.03491727449244275,0.8396353203683934,0.8403610457821776,0.9891232425298561,0.9965962791052716,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,5,1Y,2027-09-22,1.025,1.3988427452342287,0.3738427452342288,1.465653321128503,1.512579933722273,0.9836897148280968,0.9900344683683542,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,6,2Y,2028-09-20,2.036111111111111,2.249061034028505,0.21294992291739412,1.6373977101425858,1.6511871277510333,0.9697270214835982,0.9881688963776931,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,7,3Y,2029-09-20,3.05,3.2219899835253063,0.17198998352530648,1.5644996839260372,1.5739249713495576,0.9671768520187171,0.988837362361543,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,8,4Y,2030-09-20,4.063888888888889,4.219498478454146,0.15560958956525717,1.4834016632524547,1.4915410952785768,0.9635150390129861,0.9854459078335064,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,9,5Y,2031-09-22,5.083333333333333,5.593320673873656,0.5099873405403228,1.8297844630613262,1.8995258010282505,0.6576625489490822,0.9834399201316604,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,10,7Y,2033-09-21,7.111111111111111,7.8177905142727235,0.7066794031616128,2.296492080923115,2.4027633376168014,0.3725237230532879,0.7437518311412545,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,11,10Y,2036-09-22,10.158333333333333,11.429542392524777,1.2712090591914436,2.9394129937571685,3.202517949994797,0.23056953244113504,0.4611144717620147,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,12,15Y,2041-09-20,15.225,16.054316683941142,0.8293166839411423,3.1063285356332275,3.2151272344267197,0.18476937727313977,0.3755081453891057,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,13,20Y,2046-09-20,20.29722222222222,23.09511465636212,2.7978924341399,4.586226762824865,5.3723065803310535,0.12149754031326448,0.2457191794413275,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,14,30Y,2056-09-20,30.444444444444443,25.870134716073274,-4.574309728371169,2.862648317177256,5.396208379863487,0.11779103126673021,0.2417759345236683,1562
