scenario,reference_date,method,bump_bp,shock_index,shock_tenor,node_index,node_tenor,node_date,maturity_distance,central_sensitivity_bp_per_bp,curvature_bp_per_bp2
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,0,1M,2026-10-21,0,0.9945129552470233,-7.031532300860732e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,1,2M,2026-11-20,1,-0.040671430278776954,2.7315474881994817e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,2,3M,2026-12-22,2,0.0014318608267116506,1.3805528942256728e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,3,6M,2027-03-22,3,-0.0011688635301321249,7.371150911872348e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,4,9M,2027-06-22,4,-0.000709120746497649,4.912394102607465e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,5,1Y,2027-09-22,5,-0.000527047462686725,3.6861777519270333e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,6,2Y,2028-09-20,6,-0.0002550934790485071,1.8529330847449899e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,7,3Y,2029-09-20,7,-0.00016679176477463198,1.236073743360322e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,8,4Y,2030-09-20,8,-0.0001240600754071064,9.273665169118317e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,9,5Y,2031-09-22,9,-9.901571715320578e-05,7.411571356641389e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,10,7Y,2033-09-21,10,-7.135098394062123e-05,5.297220995181817e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,11,10Y,2036-09-22,11,-5.101765156168003e-05,3.713016005768566e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,12,15Y,2041-09-20,12,-3.512762344892728e-05,2.477601457329115e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,13,20Y,2046-09-20,13,-2.6878230335869446e-05,1.854627562636324e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,0,1M,14,30Y,2056-09-20,14,-1.8291845121920502e-05,1.2430889650971721e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,0,1M,2026-10-21,-1,-1.8318679906315083e-11,3.6637359812630166e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,1,2M,2026-11-20,0,1.0350800358827765,3.9845331201160405e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,2,3M,2026-12-22,1,-0.10266397464826771,6.468807017823153e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,3,6M,2027-03-22,2,0.0007723188326369534,2.5525231928114067e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,4,9M,2027-06-22,3,-0.0011394650817342367,1.7269086161064706e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,5,1Y,2027-09-22,4,-0.0007859851992864098,1.295160090286629e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,6,2Y,2028-09-20,5,-0.0003783553092356895,6.514695727322106e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,7,3Y,2029-09-20,6,-0.00024641333036534707,4.3475043010055003e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,8,4Y,2030-09-20,7,-0.00018296632015024628,3.2623709289580916e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,9,5Y,2031-09-22,8,-0.00014598342638894035,2.607734861381772e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,10,7Y,2033-09-21,9,-0.00010535899909458468,1.8644655264132837e-07
