scenario,reference_date,method,calibration_engine,bump_bp,shock_index,shock_tenor,own_node_sensitivity_bp_per_bp,own_node_curvature_bp_per_bp2,maximum_abs_node_sensitivity_bp_per_bp,maximum_abs_node_sensitivity_tenor,total_abs_node_sensitivity_bp_per_bp,off_diagonal_abs_sensitivity_bp_per_bp,off_diagonal_share,plus_calibration_success,minus_calibration_success,plus_max_abs_repricing_error_bp,minus_max_abs_repricing_error_bp,forward_observation_count,forward_sensitivity_bias_bp_per_bp,forward_sensitivity_mae_bp_per_bp,forward_sensitivity_rmse_bp_per_bp,forward_max_abs_sensitivity_bp_per_bp,forward_max_abs_sensitivity_date,forward_curvature_rmse_bp_per_bp2,forward_max_abs_curvature_bp_per_bp2,forward_max_abs_curvature_date,grid_step_days,forward_period_days
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,0,1M,0.9945129552470233,-7.031532300860732e-06,0.9945129552470233,1M,1.039868905462621,0.045355950215597574,0.04361698861975245,True,True,5.745404152435185e-11,3.0808688933348094e-11,1562,-0.0009790379224791567,0.0040518320820589655,0.05677174028578189,1.1863880052079279,2026-10-23,8.661139820916925e-07,2.443365509918749e-05,2026-10-23,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,1,2M,1.0350800358827765,3.9845331201160405e-06,1.0350800358827765,2M,1.1416965694643204,0.10661653358154388,0.09338429879978351,True,True,2.7200464103316335e-11,5.842548667089886e-11,1562,-2.7260569065341087e-05,0.010714485416618685,0.12830513470011645,2.3563477546886813,2026-11-20,2.511703025064166e-06,5.4359545476057036e-05,2026-11-20,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,2,3M,1.0955825396453955,1.5614223525250992e-05,1.0955825396453955,3M,1.1408125709970462,0.04523003135165071,0.03964720629973477,True,True,3.275157922644212e-11,3.524958103184872e-11,1562,-0.00011138037279988289,0.017787742922149373,0.1729769654263474,3.271601808748775,2026-11-20,4.956103036109058e-06,0.0001293896989551513,2026-11-20,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,3,6M,1.0279303596240352,2.169592699940992e-05,1.0279303596240352,6M,1.0952255614549156,0.06729520183088034,0.06144414830994657,True,True,5.842548667089886e-11,7.049916206369744e-11,1562,-0.0003139499612205117,0.03397205836186413,0.2566107834938099,2.2127590731296083,2027-03-26,6.571445820199098e-06,7.977678517789855e-05,2026-12-25,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,4,9M,1.0436305776830719,5.093479846229876e-05,1.0436305776830719,9M,1.0982799696514918,0.05464939196841989,0.04975907189289935,True,True,2.123301534595612e-11,5.842548667089886e-11,1562,-0.00048578108442797434,0.0508042338190071,0.3842784165786939,3.2895702350670826,2027-06-25,1.9589380871654848e-05,0.00023143153102256342,2027-04-23,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,5,1Y,1.0389751541860226,8.068801210514565e-05,1.0389751541860226,1Y,1.1194741407916098,0.08049898660558719,0.07190785715573941,True,True,1.9012569296705806e-11,3.275157922644212e-11,1562,-0.0016866592115481192,0.07037093654568909,0.4104498114490952,4.189781275949142,2027-07-30,4.049935235380221e-05,0.0004611801227016876,2027-08-13,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,6,2Y,1.0324085472172144,0.00010592426089028883,1.0324085472172144,2Y,1.2114103746234393,0.17900182740622483,0.1477631619771018,True,True,5.842548667089886e-11,4.6074255521943996e-11,1562,-0.005465064345022136,0.14279021652238247,0.5491285270781079,2.2453733288257256,2028-09-22,5.16031052018691e-05,0.0002482124220049009,2027-10-15,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,7,3Y,1.06924106614191,0.00023386231326472107,1.06924106614191,3Y,1.2700702127835946,0.2008291466416845,0.1581244443183422,True,True,1.8457457784393227e-11,4.3298697960381105e-11,1562,-0.008540341361208004,0.22146441307618653,0.8517379884103756,3.48263367283233,2029-09-21,0.00017343213687007365,0.0007879993230153204,2029-02-02,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,8,4Y,1.1079797034006105,0.0003807851577108945,1.1079797034006105,4Y,1.3096169001138023,0.2016371967131918,0.15396655059633857,True,True,1.9012569296705806e-11,2.1926904736346842e-11,1562,-0.011716562166472912,0.3074414844445223,1.1783191676455047,4.808902454102523,2030-09-20,0.0003792758650716913,0.001688363277796423,2029-09-21,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,simultaneous_nodal_least_squares,1.0,9,5Y,1.1545176417113168,0.0005517091164475296,1.1545176417113168,5Y,1.4133856794816546,0.25886803777033784,0.1831545639158274,True,True,2.1926904736346842e-11,3.524958103184872e-11,1562,-0.023431182349944995,0.40659369061592976,1.3303949745266137,5.78723549508213,2030-10-11,0.0006330451834801001,0.003024671770407439,2030-10-11,7,28
