shock_tenor,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,30Y
1M,-7.2430102193710155e-06,2.789153352722451e-06,6.822331588551833e-07,1.1394452048563153e-06,6.046527167846705e-07,5.240435863029802e-07,2.55750837174773e-07,1.8056681150291354e-07,1.3343395832698945e-07,1.0751094459138244e-07,7.618725095248635e-08,5.3853727033370546e-08,3.556432925932995e-08,2.6840613065459706e-08,1.764130508341566e-08
2M,8.04019351097196e-08,3.6480710119413118e-06,9.03533678431323e-06,8.456535194323322e-06,6.3357889767967634e-06,4.849139562113081e-06,2.7058802420931727e-06,1.8327597772760384e-06,1.3808044985186285e-06,1.1034920199826104e-06,7.903444565471318e-07,5.539542435872846e-07,3.7112576900533156e-07,2.7872010255336477e-07,1.861212572951132e-07
3M,-1.4097695233417085e-07,5.520733870056915e-07,1.8638071780374688e-05,1.1162672591824574e-05,9.291899333296882e-06,6.947648845123666e-06,4.0485244323651415e-06,2.72542849399926e-06,2.0620849472408054e-06,1.6451980056064741e-06,1.181105629965984e-06,8.267611595336177e-07,5.557257432009521e-07,4.1710496168079203e-07,2.795148834611183e-07
6M,9.027917302617539e-09,-3.870820330931224e-08,4.0408135171254855e-07,2.4871995712993922e-05,7.571769461423017e-06,7.063099133342021e-06,4.579265577842051e-06,3.321664471256369e-06,2.4864699188498207e-06,1.9991357180781932e-06,1.424624029855437e-06,1.0061353139523277e-06,6.708877897665388e-07,5.06296532476469e-07,3.3564109824801847e-07
9M,-4.269085085439883e-09,1.8122447986712586e-08,-1.8232942933238405e-07,1.8067958240663984e-06,5.242669715022075e-05,1.2735184434786717e-05,2.14861053948745e-05,1.5361539540403868e-05,1.1939730870658138e-05,9.48577494330749e-06,6.882958786258442e-06,4.811144954652846e-06,3.2853782194752768e-06,2.466750831375819e-06,1.677840921754381e-06
1Y,1.1832201884942606e-09,-5.188766083463747e-09,5.336564523616971e-08,-4.315034440871557e-07,2.2978517699723255e-06,8.703795836839667e-05,2.1247908155164197e-05,1.871519522689269e-05,1.3892274275395522e-05,1.1313534692414251e-05,7.989436473510025e-06,5.737168379260638e-06,3.7976928546346045e-06,2.8970510712600372e-06,1.8958706826666116e-06
2Y,9.769962616701378e-11,4.4381165409390633e-10,-2.708805402207304e-09,2.335701076994212e-08,-1.0359574309504183e-07,2.3434351681395071e-07,0.00012086694603508086,1.2038546964854291e-05,1.117619788382207e-05,8.645125865180958e-06,6.632696197828025e-06,4.4994322156988176e-06,3.269993997800924e-06,2.414124872229806e-06,1.7518993200571487e-06
3Y,-3.6637359812630166e-11,-1.4765966227514582e-10,1.4767354006295363e-09,-1.2117112868637037e-08,5.4273530114556934e-08,-1.1572590108421821e-07,2.3566253115614444e-06,0.00024326625089332587,1.7365827109649956e-05,1.845742739203793e-05,1.1653257386834426e-05,1.022974677189481e-05,5.79246331455785e-06,4.904023437335425e-06,2.5498114730737598e-06
4Y,1.2212453270876722e-11,9.658940314238862e-11,-6.052103262987885e-10,4.9778237087849675e-09,-2.2155749457297702e-08,4.76445272123982e-08,-7.458472728316679e-07,4.106283507665509e-06,0.00039085217506951153,2.234463614136928e-05,4.3624344969739326e-05,2.6944854403243568e-05,3.0226469105443243e-05,2.0716805215759138e-05,2.0405431233605498e-05
5Y,-2.42861286636753e-11,5.800915303666443e-11,2.3592239273284576e-10,-1.4817314042403495e-09,6.806222252464522e-09,-1.4528794833879033e-08,2.4016677535598774e-07,-9.399966915957236e-07,4.790584734459813e-06,0.0005765065158591653,3.912563564800742e-05,7.553116021519202e-05,4.276897530575141e-05,4.2581628084681356e-05,2.0432102398881824e-05
7Y,-6.092348847630547e-11,3.8719027983802334e-11,-5.592748486549226e-11,2.223221606811876e-10,-8.992806499463768e-10,1.93123295133546e-09,-3.0797864258858e-08,1.2719866826493842e-07,-4.851333224031862e-07,3.0901753378387298e-06,0.0007957287290194515,6.184198195202661e-05,0.00014774479764612103,0.00010186261889533199,0.00012175788793866715
10Y,-1.2212453270876722e-11,8.368306048112117e-11,3.427813588530171e-11,-2.0122792321330962e-11,1.619537837171947e-10,-4.1175396425785493e-10,7.1262440393127235e-09,-2.9309193960713742e-08,1.1402184751929667e-07,-6.646899697315689e-07,7.102834986838502e-06,0.001377655845236081,0.0002046541833222726,0.0002419327924108039,0.00015047228629772036
15Y,-2.42861286636753e-11,6.439293542825908e-11,1.7208456881689926e-11,2.3592239273284576e-12,-9.145462165349727e-11,1.4710455076283324e-10,-1.7827406217918451e-09,7.342737529114629e-09,-2.896238804339646e-08,1.6963597193608848e-07,-1.6783306688861188e-06,1.9425584474319635e-05,0.0026522645127369238,0.0005464395508303355,0.001627716338659102
20Y,-6.106226635438361e-11,4.5102810375396984e-11,-1.7069679003611782e-11,-2.0816681711721685e-12,-3.191891195797325e-11,-4.08006961549745e-11,8.475165014232289e-10,-3.5473013415554533e-09,1.3394563236346357e-08,-7.929740197809565e-08,7.896100440163423e-07,-8.539958046283047e-06,0.00012026960052868851,0.006600041496940268,0.004355911100012433
30Y,-3.6637359812630166e-11,9.020562075079397e-11,5.1486592766991635e-11,5.398459457239824e-11,-1.3877787807814457e-12,9.43689570931383e-11,-1.0172418463127997e-10,5.889733145636455e-10,-2.569611190494925e-09,1.4606371667724716e-08,-1.4630296973905388e-07,1.5938467212706087e-06,-2.0555760982254867e-05,8.431505119088634e-05,0.018694827211424014
