shock_tenor,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,30Y
1M,-7.031532300860732e-06,3.848351221025226e-06,1.4703996353837567e-06,8.566583553637486e-07,5.732746222175678e-07,4.3233791546803957e-07,2.1599874666655694e-07,1.4414441862342642e-07,1.0812198358856051e-07,8.637729420613027e-08,6.160127963283912e-08,4.292288746654549e-08,2.837216572793011e-08,2.1177087861090627e-08,1.3826439992925543e-08
2M,-2.4424906541753444e-11,5.900537281000595e-06,8.366587145314242e-06,2.7839509864069356e-06,1.96341998215388e-06,1.4758551325488867e-06,7.376810273740375e-07,4.924168017783614e-07,3.693709227370334e-07,2.9510144328170895e-07,2.1044818665494347e-07,1.4662257519226785e-07,9.6868901788838e-08,7.228662113334394e-08,4.716685375605323e-08
3M,2.4424906541753444e-11,1.9290125052862095e-11,1.8632600740087213e-05,4.793784813550417e-06,2.8901785131818514e-06,2.1912931191803153e-06,1.0939517347541283e-06,7.298897597429743e-07,5.474093400792412e-07,4.3732642507343655e-07,3.119324243350263e-07,2.1743731815071499e-07,1.43754730341783e-07,1.0731748822934151e-07,7.006409341592246e-08
6M,1.2212453270876722e-11,3.219646771412954e-11,1.2906342661267445e-11,2.722543551714196e-05,5.8981049211315195e-06,3.6698577510207997e-06,1.8413764957259104e-06,1.2276422933776843e-06,9.204353945690968e-07,7.35293215203825e-07,5.246210410536634e-07,3.65967534055045e-07,2.4223859029781636e-07,1.8097232046265788e-07,1.1825235235463083e-07
9M,2.4424906541753444e-11,3.2057689836051395e-11,1.734723475976807e-11,2.886579864025407e-11,5.550304271739748e-05,8.249443766983333e-06,4.530738562102954e-06,3.0173483156481495e-06,2.2622126394367115e-06,1.8071676100017697e-06,1.2894514622718845e-06,8.996049738474454e-07,5.955390347534006e-07,4.4496462070497955e-07,2.907885043867964e-07
1Y,1.2212453270876722e-11,1.9290125052862095e-11,2.609024107869118e-11,6.522560269672795e-12,-1.9845236565174673e-11,8.413647445415506e-05,6.897519916337913e-06,4.8423978715739224e-06,3.6259145685946237e-06,2.896159145837629e-06,2.067985782616688e-06,1.4456381924876638e-06,9.599890327116611e-07,7.187227202276603e-07,4.7074982800765497e-07
2Y,1.2212453270876722e-11,6.522560269672795e-12,1.7486012637846216e-11,8.604228440844963e-12,1.8318679906315083e-11,1.5404344466674047e-11,0.00012524612222342135,9.050456634129844e-06,7.2050430899306406e-06,5.749737769233931e-06,4.11430528535206e-06,2.8925849215877264e-06,1.9378117166457542e-06,1.4590427477312318e-06,9.616558938052577e-07
3Y,0.0,6.38378239159465e-12,-1.2906342661267445e-11,-2.7755575615628914e-13,-1.2212453270876722e-11,-6.800116025829084e-12,-6.2450045135165055e-12,0.0002483270179765018,1.2665912901832499e-05,1.1106613406752786e-05,7.93323337577867e-06,5.570635341900498e-06,3.7250029449875655e-06,2.801431725485415e-06,1.8441534410662541e-06
4Y,4.884981308350689e-11,3.8441472227646045e-11,1.734723475976807e-11,-7.077671781985373e-12,-1.3739009929736312e-11,-2.3175905639050143e-11,-8.743006318923108e-12,-1.429412144204889e-11,0.0003930682077046832,1.4837152201296888e-05,1.356810691577337e-05,9.514609100591542e-06,6.358598647615565e-06,4.780319057262616e-06,3.1456186266876074e-06
5Y,1.2212453270876722e-11,6.38378239159465e-12,-4.0245584642661925e-12,4.163336342344337e-12,0.0,-1.1102230246251565e-12,-4.440892098500626e-12,-7.632783294297951e-12,-4.3021142204224816e-12,0.0005634734964732324,1.4092857714143037e-05,1.1084591022836321e-05,7.490653236574829e-06,5.674849062886622e-06,3.7668379526678564e-06
7Y,1.2212453270876722e-11,1.9290125052862095e-11,2.1649348980190553e-11,8.604228440844963e-12,-3.0531133177191805e-12,-3.469446951953614e-12,4.440892098500626e-12,-3.191891195797325e-12,-1.8041124150158794e-12,-3.191891195797325e-12,0.0007889256446735882,2.167904064598325e-05,1.7491896958654607e-05,1.3576969964956831e-05,9.252861532527135e-06
10Y,-1.2212453270876722e-11,0.0,2.1649348980190553e-11,-2.3592239273284576e-12,7.632783294297951e-12,-4.579669976578771e-12,-1.8041124150158794e-12,3.191891195797325e-12,-2.7755575615628914e-12,-4.0245584642661925e-12,-5.551115123125783e-12,0.0013537671425534192,8.090505057567476e-05,6.520724071812367e-05,4.5300913575907487e-05
15Y,0.0,-1.9290125052862095e-11,-8.326672684688674e-12,-1.582067810090848e-11,-2.2898349882893854e-11,-2.2065682614424986e-11,-2.3175905639050143e-11,-1.6514567491299204e-11,-1.2906342661267445e-11,-1.5681900222830336e-11,-1.5404344466674047e-11,-1.5959455978986625e-11,0.0027189091296453416,0.0002708832685938134,0.00019137453968753881
20Y,1.2212453270876722e-11,-1.2906342661267445e-11,1.7486012637846216e-11,4.163336342344337e-12,0.0,2.3592239273284576e-12,3.191891195797325e-12,-4.163336342344337e-13,-3.885780586188048e-12,-6.106226635438361e-12,-1.2628786905111156e-11,-1.1518563880485999e-11,-9.43689570931383e-12,0.006180629155694284,0.0012200624435743102
30Y,2.4424906541753444e-11,4.496403249731884e-11,3.011479954295737e-11,1.0963452368173421e-11,1.5265566588595902e-12,4.85722573273506e-12,-6.38378239159465e-12,-9.853229343548264e-12,-8.465450562766819e-12,-1.124100812432971e-11,-9.992007221626409e-12,-1.0408340855860843e-11,-4.579669976578771e-12,-8.326672684688674e-13,0.01598583751621918
