shock_tenor,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,30Y
1M,-7.031532300860732e-06,2.7315474881994817e-06,1.3805528942256728e-06,7.371150911872348e-07,4.912394102607465e-07,3.6861777519270333e-07,1.8529330847449899e-07,1.236073743360322e-07,9.273665169118317e-08,7.411571356641389e-08,5.297220995181817e-08,3.713016005768566e-08,2.477601457329115e-08,1.854627562636324e-08,1.2430889650971721e-08
2M,3.6637359812630166e-11,3.9845331201160405e-06,6.468807017823153e-06,2.5525231928114067e-06,1.7269086161064706e-06,1.295160090286629e-06,6.514695727322106e-07,4.3475043010055003e-07,3.2623709289580916e-07,2.607734861381772e-07,1.8644655264132837e-07,1.3058734649185055e-07,8.720676958340334e-08,6.542447139601393e-08,4.3697268026221536e-08
3M,0.0,-9.645062526431047e-11,1.5614223525250992e-05,3.5558567201832147e-06,2.340693194824439e-06,1.7568506371912207e-06,8.831431419498159e-07,5.891373500155339e-07,4.420218358003325e-07,3.533440207093008e-07,2.526673315017547e-07,1.7701978771711424e-07,1.182245967790152e-07,8.870862377996502e-08,5.925440693665962e-08
6M,2.4424906541753444e-11,-3.219646771412954e-11,-4.704570066849101e-11,2.169592699940992e-05,5.2175681830579634e-06,3.563969536157785e-06,1.7922732742370329e-06,1.1945276712221897e-06,8.958779551537788e-07,7.16102732667423e-07,5.12226233650992e-07,3.5918434893034146e-07,2.4027654865754755e-07,1.8051282690834114e-07,1.2058534726300252e-07
9M,1.2212453270876722e-11,-5.134781488891349e-11,-4.274358644806853e-11,9.880984919163893e-11,5.093479846229876e-05,7.632331849860563e-06,4.126994440634135e-06,2.74965508695324e-06,2.0622649421486727e-06,1.6484545672934559e-06,1.1791111143022448e-06,8.267536655282015e-07,5.529722513220037e-07,4.154103450115798e-07,2.774760976542723e-07
1Y,0.0,-3.858025010572419e-11,-6.425415755018093e-11,8.548717289613705e-11,1.0075273948473296e-10,8.068801210514565e-05,5.833441646396764e-06,4.013632204369344e-06,3.008787524683143e-06,2.4049602587172814e-06,1.7206946978376436e-06,1.2073692046143947e-06,8.084788394313591e-07,6.078547387655675e-07,4.062920833103334e-07
2Y,2.4424906541753444e-11,-3.219646771412954e-11,-5.564992910933597e-11,8.090750291955828e-11,9.3119956190435e-11,7.591149930874508e-11,0.00010592426089028883,9.207000162270162e-06,7.1257022504767065e-06,5.691043469813195e-06,4.08378844629631e-06,2.888181638294185e-06,1.9572052312177846e-06,1.4829014405304264e-06,9.99197530271445e-07
3Y,0.0,-6.522560269672795e-12,-4.704570066849101e-11,1.1907141939104804e-10,1.0852430065710905e-10,7.480127628411992e-11,3.469446951953614e-11,0.00023386231326472107,1.2752645606184387e-05,1.0893797808275707e-05,7.805737167743132e-06,5.510195633107173e-06,3.7239129835331397e-06,2.8166875776225453e-06,1.8945715829499221e-06
4Y,-3.6637359812630166e-11,-5.1486592766991635e-11,-7.28583859910259e-11,6.730727086790012e-11,7.78543896018391e-11,6.300515664747763e-11,2.7200464103316335e-11,3.2057689836051395e-11,0.0003807851577108945,1.526254414518924e-05,1.3237187457271204e-05,9.332470074507881e-06,6.300232280320728e-06,4.762185784601414e-06,3.200973375250271e-06
5Y,-2.4424906541753444e-11,-4.5102810375396984e-11,-6.855627177060342e-11,7.396860901565105e-11,7.632783294297951e-11,5.6066262743570405e-11,2.706168622523819e-11,2.525757381022231e-11,2.4841240175987878e-11,0.0005517091164475296,1.2652969366699907e-05,9.759093116956663e-06,6.641152905384473e-06,5.048420570474832e-06,3.414347415908736e-06
7Y,1.2212453270876722e-11,-3.219646771412954e-11,-4.704570066849101e-11,9.200973316580985e-11,9.922618282587337e-11,7.133182933216631e-11,3.094746681142624e-11,2.9282132274488504e-11,2.373101715136272e-11,1.2073675392798577e-11,0.0007545954440468794,2.0353236318548795e-05,1.5909792094870312e-05,1.2400483834218434e-05,8.605793161420294e-06
10Y,-1.2212453270876722e-11,-3.219646771412954e-11,-6.855627177060342e-11,7.188694084447889e-11,7.188694084447889e-11,5.1486592766991635e-11,2.9004576518332215e-11,3.150257832373882e-11,1.942890293094024e-11,9.575673587391975e-12,1.1934897514720433e-11,0.0012830206416736267,6.630212059932639e-05,5.35018697400691e-05,3.786406854722202e-05
15Y,0.0,-8.368306048112117e-11,-4.718447854656915e-11,1.0103029524088925e-10,1.1324274851176597e-10,7.938094626069869e-11,4.038436252074007e-11,3.8719027983802334e-11,2.8033131371785203e-11,1.6237011735142914e-11,2.2620794126737565e-11,1.554312234475219e-11,0.002520518423004825,0.00029046834992829673,0.000206818182163504
20Y,0.0,-5.134781488891349e-11,-6.855627177060342e-11,6.966649479522857e-11,7.78543896018391e-11,6.314393452555578e-11,3.802513859341161e-11,3.774758283725532e-11,3.0808688933348094e-11,2.1649348980190553e-11,2.6506574712925612e-11,1.8735013540549517e-11,2.0122792321330962e-11,0.005902159298243337,0.000869400648556562
30Y,2.4424906541753444e-11,-1.942890293094024e-11,-2.9976021664879227e-11,1.0560996521746802e-10,1.1171619185290638e-10,7.702172233337023e-11,3.094746681142624e-11,3.0531133177191805e-11,2.4147350785597155e-11,1.5404344466674047e-11,2.5118795932144167e-11,1.3877787807814457e-11,1.5681900222830336e-11,4.0245584642661925e-12,0.014405179247917177
