shock_tenor,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,30Y
1M,0.9945129552470233,-0.07499127967873498,0.007959644727634219,-0.001678942329191857,-0.000774189600413755,-0.0005936135095280237,-0.0002860714488212013,-0.00018745539190345717,-0.00013949238604482606,-0.00011128030094620378,-7.994085282625463e-05,-5.6788547614372575e-05,-3.863403451320746e-05,-2.936886005222572e-05,-1.9556030544931602e-05
2M,0.0,1.0693937415645616,-0.15773666936835795,0.0060383168799110765,-0.0011732035513911665,-0.0006129830947693149,-0.0002953055407151073,-0.00019200630065052682,-0.0001423996048854903,-0.00011352872281156223,-8.180523279610608e-05,-5.857872444059442e-05,-4.032036371448555e-05,-3.08711792240679e-05,-2.0712843870618336e-05
3M,-1.2212453270876722e-11,9.645062526431047e-12,1.1441215158222717,-0.06237426756164344,-0.002709394240560381,-0.003933811901293827,-0.001855902205319393,-0.0012117481346107795,-0.0009002068039609679,-0.0007179203925095079,-0.00051651356469673,-0.0003683768785150976,-0.0002520751957169054,-0.0001923112687152173,-0.00012854425086861188
6M,-6.106226635438361e-12,9.575673587391975e-12,6.453171330633722e-12,1.0521727154175209,-0.06138789766664543,-0.007897482082325213,-0.004337586917563252,-0.00282702175370686,-0.002100155389317404,-0.0016748763591312166,-0.0012050388441958715,-0.0008594988538945803,-0.000588209826471453,-0.00044878369916123706,-0.00029999701361971276
9M,1.2212453270876722e-11,-3.2612801348363973e-12,-4.232725281383409e-12,-1.1102230246251565e-12,1.0599339548915399,-0.03869014438100116,-0.006366899840959395,-0.004252961747913675,-0.0031594802141210465,-0.002519792668478904,-0.0018125884671676973,-0.0012921826732931185,-0.0008836683838137072,-0.000673902187664499,-0.00045026472994535993
1Y,1.8318679906315083e-11,-3.1225022567582528e-12,8.604228440844963e-12,3.2612801348363973e-12,2.2898349882893854e-12,1.045341193575966,-0.03535370907851998,-0.018898205374345833,-0.014066938181372945,-0.011218346162022996,-0.008070972470214377,-0.005755913091640141,-0.003938395943814399,-0.0030045124347483076,-0.0020081713919539723
2Y,6.106226635438361e-12,3.2612801348363973e-12,0.0,9.020562075079397e-12,1.0685896612017132e-11,6.453171330633722e-12,1.0409849713530899,-0.05570905115388769,-0.03661373215314845,-0.029229274343331446,-0.021028279337531597,-0.014996144942144851,-0.010260451595647813,-0.007827262219969877,-0.005231482493109341
3Y,2.4424906541753444e-11,2.9004576518332215e-11,6.453171330633722e-12,-4.579669976578771e-12,-7.632783294297951e-12,-7.008282842946301e-12,-2.5673907444456745e-12,1.0750124211727359,-0.06372292359953236,-0.04550571054265373,-0.032794349850220894,-0.023385823338523126,-0.015999694058452252,-0.012205006184110023,-0.008157081803628063
4Y,-1.2212453270876722e-11,-6.453171330633722e-12,4.232725281383409e-12,-1.1796119636642288e-12,-2.2898349882893854e-12,-1.1796119636642288e-12,3.1225022567582528e-12,-1.3183898417423734e-12,1.1124117407139422,-0.07639567222307575,-0.04472531645233202,-0.03192570981885856,-0.02184255325138329,-0.016662252937463262,-0.011136141965586988
5Y,-6.106226635438361e-12,9.575673587391975e-12,-6.453171330633722e-12,0.0,3.0531133177191805e-12,5.551115123125783e-13,-5.9674487573602164e-12,-5.620504062164855e-12,-2.8449465006019636e-12,1.1594694162402053,-0.10022924222655161,-0.06861965947763116,-0.04696060195506779,-0.03582349170326571,-0.02394271283068239
7Y,6.106226635438361e-12,3.1225022567582528e-12,2.0816681711721685e-12,2.220446049250313e-12,0.0,4.093947403305265e-12,2.7755575615628914e-12,4.232725281383409e-12,3.400058012914542e-12,3.677613769070831e-12,1.2046367479035673,-0.1750095655091849,-0.1153218771757919,-0.08797831871305839,-0.05880010540734726
10Y,6.106226635438361e-12,0.0,-6.38378239159465e-12,-5.620504062164855e-12,-3.816391647148976e-12,-9.367506770274758e-12,-6.591949208711867e-12,-5.204170427930421e-12,-2.914335439641036e-12,-2.0122792321330962e-12,-1.5265566588595902e-12,1.321366026091203,-0.3128992952652204,-0.23689099254778356,-0.15832813245214572
15Y,-2.4424906541753444e-11,-1.6167622796103842e-11,-1.2906342661267445e-11,-1.2351231148954867e-11,-8.396061623727746e-12,-1.2281842209915794e-11,-5.342948306008566e-12,-4.232725281383409e-12,-3.677613769070831e-12,-2.1510571102112408e-12,-1.1796119636642288e-12,-1.0408340855860843e-12,1.5362552939861969,-0.5039482562060882,-0.33442899755563305
20Y,-6.106226635438361e-12,6.453171330633722e-12,1.2906342661267445e-11,6.800116025829084e-12,3.0531133177191805e-12,-4.649058915617843e-12,-4.093947403305265e-12,-3.816391647148976e-12,-1.942890293094024e-12,-3.191891195797325e-12,-2.8449465006019636e-12,-2.1510571102112408e-12,-2.7755575615628914e-13,1.9179574026290114,-0.9781108029874308
30Y,1.2212453270876722e-11,9.71445146547012e-12,2.1510571102112408e-12,7.840950111415168e-12,9.922618282587337e-12,7.008282842946301e-12,6.2450045135165055e-12,2.706168622523819e-12,1.8735013540549517e-12,-3.469446951953614e-13,5.551115123125783e-13,-1.1796119636642288e-12,-1.0408340855860843e-12,5.551115123125783e-13,2.5973814375380986
