shock_tenor,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,30Y
1M,0.9945129552470233,-0.040671430278776954,0.0014318608267116506,-0.0011688635301321249,-0.000709120746497649,-0.000527047462686725,-0.0002550934790485071,-0.00016679176477463198,-0.0001240600754071064,-9.901571715320578e-05,-7.135098394062123e-05,-5.101765156168003e-05,-3.512762344892728e-05,-2.6878230335869446e-05,-1.8291845121920502e-05
2M,-1.8318679906315083e-11,1.0350800358827765,-0.10266397464826771,0.0007723188326369534,-0.0011394650817342367,-0.0007859851992864098,-0.0003783553092356895,-0.00024641333036534707,-0.00018296632015024628,-0.00014598342638894035,-0.00010535899909458468,-7.5637534499573e-05,-5.2381326845485354e-05,-4.022229931066601e-05,-2.747125540936146e-05
3M,1.2212453270876722e-11,-9.645062526431047e-12,1.0955825396453955,-0.03334438719818089,-0.003518519113843155,-0.0032237948525276616,-0.0015490581641713908,-0.0010112612770785123,-0.0007516530587531323,-0.0005998367905157842,-0.0004325144456474028,-0.00030976151421668874,-0.0002137838811533399,-0.00016381474822468878,-0.00011164628548054889
6M,4.884981308350689e-11,3.5388358909926865e-11,1.5057399771478686e-11,1.0279303596240352,-0.04433921348280523,-0.008480254473156035,-0.004361240041883541,-0.0028456346027466717,-0.002114997483884662,-0.0016878000148878858,-0.0012170552288887082,-0.000871753520342855,-0.0006017591420298674,-0.0004611590045944247,-0.0003143347363648852
9M,-3.0531133177191805e-11,0.0,-8.604228440844963e-12,-1.124100812432971e-11,1.0436305776830719,-0.032312284154664694,-0.0066899203676057395,-0.004402836336556137,-0.0032727274521665572,-0.002611762147317065,-0.0018830531692964891,-0.0013483084811138912,-0.0009302346790779348,-0.0007126594616518878,-0.00048560566859312537
1Y,-1.2212453270876722e-11,-6.38378239159465e-12,6.453171330633722e-12,0.0,-1.5265566588595902e-12,1.0389751541860226,-0.026433312778420537,-0.015202565316896344,-0.011308182026117941,-0.00902407998291943,-0.006507101193153897,-0.004660781910414968,-0.0032171417599369256,-0.0024654001722773655,-0.0016804214388738137
2Y,2.4424906541753444e-11,9.575673587391975e-12,2.1510571102112408e-12,-2.2898349882893854e-12,-7.632783294297951e-13,-4.093947403305265e-12,1.0324085472172144,-0.05339066280210525,-0.03653800497521731,-0.02917253509149287,-0.021035342368733168,-0.015066192554230584,-0.010398962805996392,-0.007968782522252416,-0.005431344242898262
3Y,0.0,3.2612801348363973e-12,-2.1510571102112408e-12,-1.1102230246251565e-12,3.885780586188048e-12,-4.649058915617843e-12,9.71445146547012e-13,1.06924106614191,-0.061919918055430845,-0.04546559306137232,-0.032816731687507206,-0.0235033757889358,-0.016221511235856023,-0.012430186772036111,-0.008471830024517346
4Y,6.106226635438361e-12,6.453171330633722e-12,2.1510571102112408e-12,4.5102810375396984e-12,8.396061623727746e-12,5.828670879282072e-12,4.718447854656915e-12,2.0122792321330962e-12,1.1079797034006105,-0.0735679651368143,-0.04496072862611444,-0.03221865320882089,-0.022236751456433668,-0.017039626565920618,-0.011613471678911802
5Y,1.2212453270876722e-11,2.2551405187698492e-11,4.3021142204224816e-12,7.840950111415168e-12,9.159339953157541e-12,1.1657341758564144e-11,-5.898059818321144e-12,-7.632783294297951e-12,-9.922618282587337e-12,1.1545176417113168,-0.0927126329614697,-0.06440726667077123,-0.04445938123251447,-0.03406874953190697,-0.0232200072824984
7Y,-6.106226635438361e-12,-3.191891195797325e-12,-1.5057399771478686e-11,-5.620504062164855e-12,-3.816391647148976e-12,-6.38378239159465e-12,-4.649058915617843e-12,-3.816391647148976e-12,-5.342948306008566e-12,-4.7878367936959876e-12,1.195884619220808,-0.1644899834668534,-0.11054942861854489,-0.0847151657402262,-0.05773834950990875
10Y,-6.106226635438361e-12,9.575673587391975e-12,4.3021142204224816e-12,6.800116025829084e-12,5.412337245047638e-12,8.118505867571457e-12,2.5673907444456745e-12,4.5102810375396984e-12,2.4980018054066022e-12,3.2612801348363973e-12,3.885780586188048e-12,1.305845092029606,-0.2888781520570677,-0.2202162650027234,-0.1500915563443228
15Y,0.0,-9.645062526431047e-12,-6.38378239159465e-12,-1.1102230246251565e-12,-1.5265566588595902e-12,0.0,4.371503159461554e-12,7.147060721024445e-12,4.718447854656915e-12,4.232725281383409e-12,1.8735013540549517e-12,1.1102230246251565e-12,1.504336247041063,-0.4952928413340385,-0.3358914394497453
20Y,0.0,0.0,1.2906342661267445e-11,1.1102230246251565e-12,6.869504964868156e-12,8.118505867571457e-12,0.0,1.8041124150158794e-12,-5.551115123125783e-13,0.0,1.0408340855860843e-12,-3.469446951953614e-13,-2.0816681711721685e-13,1.887106530376742,-0.8799364443900365
30Y,1.2212453270876722e-11,-3.191891195797325e-12,2.220446049250313e-12,-1.1796119636642288e-12,-7.632783294297951e-13,-4.649058915617843e-12,-4.649058915617843e-12,-1.8041124150158794e-12,-1.2490009027033011e-12,9.020562075079397e-13,1.3183898417423734e-12,-1.3877787807814457e-12,1.8735013540549517e-12,-4.7878367936959876e-12,2.4904789751237915
